,Text,Tokens,Labelled_topic
77,"I purchased my 1st order of Miracle Noodle directly from: [...]. I got them for my Mother because she needs to switch to a diet of less carbs and far less calories overall. I purchased the 10 pack of 7oz ""Angel hair"" noodles for $21.99 w/10.89 for shipping for a total of $32.76. A few days later I received the package. I was VERY surprised to find out that each 7oz package of Miracle Noodles ACTUALLY contained OVER 6 3/4 ounces of WATER and LESS THAN 1/4 oz of Noodles!!! While their marketing material does BARELY mention Water content, they are neither CLEAR nor particularly forthcoming about this fact nor the fact that it accounts for OVER 85% of the purchase product and considering the fact that they instruct you to IMMEDIATELY RINSE the Noodles before use, it's not as if your supposed to prepare the noodle using this WATER! - Well for a couple of reasons (including but not limited to the WATER volume) I decided to return them without opening even 1 package so they were COMPLETELY UNUSED). I was instructed (during a PHONE CALL to their main office) to MAIL THEM BACK  (AT MY EXPENSE) and WAS TOLD THAT I WOULD RECEIVE A FULL REFUND. Well it cost me approx another $10 to ship them back (due to the WATER WEIGHT)and a few days later I received a refund of $21.99. I PAID SHIPPING BOTH WAYS!!! So BASICALLY I PAID $20 in shipping to get a $22 so called REFUND - I PAID $42.00 and GOT BACK ONLY $21.99 !!! This may be legal but it is UNETHICAL and WRONG and when I spoke to the rep on the phone this was never mentioned! Especially for a company that claims to STAND BEHIND IT's PRODUCT 100%!!! When I contacted them by email they informed me that ""THIS IS OUR POLICY"" and cited the requisite schpeal on their website. I was NOT informed of this ON THE PHONE CALL at all! This so-called POLICY should be CHANGED! It may be legal but it's hardly ETHICAL or RIGHT! When is OK to get back ONLY HALF of what you spend when you return a product? IT'S NOT!! Not to MENTION THE FACT that YOU're getting LESS THAN 1/4 oz of Noodle in a 7 OZ ""Package!!! RIDICULOUS!! Oh and to make matters worse: When I COMMENTED on their Shipping Policy and Water Weight on their FACEBOOK Fan page; instead of addressing the issues OPENLY, HONESTLY and DIRECTLY they IMMEDIATELY and REPEATEDLY DELETED my COMMENTS and then BLOCKED ME from making comments at all! What's that tell you???","['miracle', 'noodle', 'mother', 'diet', 'carbs', 'calorie', 'pack', 'angel', 'hair', 'noodle', 'total', 'day', 'package', 'surprised', 'package', 'miracle', 'noodle', 'ounce', 'water', 'oz', 'noodle', 'marketing', 'material', 'mention', 'water', 'content', 'clear', 'fact', 'fact', 'purchase', 'fact', 'noodle', 'use', 'noodle', 'water', 'couple', 'reason', 'limited', 'water', 'volume', 'unused', 'phone', 'main', 'office', 'expense', 'refund', 'water', 'weight', 'day', 'refund', 'way', 'refund', 'legal', 'unethical', 'wrong', 'rep', 'phone', 'company', 'email', 'policy', 'requisite', 'schpeal', 'website', 'phone', 'so-called', 'policy', 'legal', 'right', 'half', 'fact', 'oz', 'noodle', 'oz', 'package', 'ridiculous', 'oh', 'matter', 'worse', 'shipping', 'policy', 'water', 'weight', 'facebook', 'fan', 'page', 'issue', 'comment', 'comment']",0
82,"I love the quantity and flavor of this tea. It's a little messy opening the pouches, the matcha can get all over your fingers and counter, but oh well. I purchase this at Costco, because the price is WAY better. My only complaint, is that I wish it were Organic.","['quantity', 'flavor', 'tea', 'little', 'messy', 'pouch', 'matcha', 'finger', 'counter', 'purchase', 'costco', 'price', 'way', 'complaint', 'organic']",0
85,"I tried these and wanted to like them, but just couldn't.  They did not seem to ""pop"" very well (a lot of wasted product in the bag) and they didn't taste very good.  I will not be buying these again.","['lot', 'wasted', 'bag']",0
97,This tea has a wonderful taste of blueberry.  It's even wonderful iced as a treat for family and guests alike.  Everyone who I have surved it to has loved it.,"['tea', 'wonderful', 'blueberry', 'iced', 'treat', 'family', 'guest']",0
102,"Great to have a sugar that tastes great, cooks with everything, and has not yet been cooped by the GMO crowd of producers.  We'll order again, and enjoyed the speedy delivery.  We wish this came in larger bags, for truly bulk orders.  25 lbs bags would be great.","['sugar', 'cook', 'gmo', 'crowd', 'producer', 'speedy', 'delivery', 'larger', 'bag', 'truly', 'bulk', 'order', 'bag']",0
109,I had these when in the Phillippines and then when I came had to have some more.  Even though this a large bag we go through these fast in about two weeks.,"['phillippines', 'large', 'bag', 'fast', 'week']",0
111,"I drink a LOT of tea. I probably drink around 14 cups a day, and I drink the good stuff. All whole leaf, quality, loose-tea. So I know a good cup of tea when I see one.  These are the ONLY bottles of tea that are of FANTASTIC quality.  Ito-En makes amazing stuff, and this is my absolute favorite tea from them. The price is excellent and the drink is SO healthy; I have it delivered once a month, every month.  HIGHLY recommended. :)","['lot', 'tea', 'stuff', 'leaf', 'loose-tea', 'cup', 'tea', 'bottle', 'tea', 'fantastic', 'ito-en', 'amazing', 'stuff', 'absolute', 'favorite', 'tea', 'price', 'excellent', 'drink', 'healthy']",0
113,"Aweful! They arrived immediately and still were as hard as cement! The bags' supposed re-sealable zipper,didn't re-seal once and maybe the large amount had something to do with it but again, I cannot believe how stale and terrible the candy inside was!","['aweful', 'hard', 'cement', 'bag', 're-sealable', 'zipper', 'large', 'stale', 'terrible', 'candy', 'inside']",0
143,"I've been fan of celestial seasonings teas for some time and this is one of my favorites. Something strange happens in the packing because flavour differs a lot from one box to another: the one I'm tasting right now has a lot of cinnamon, while others have a better balance of ingredients. Eventhough they all are great teas and the 5 star rating suits them well.","['fan', 'celestial', 'seasoning', 'tea', 'time', 'favorite', 'strange', 'packing', 'flavour', 'differs', 'lot', 'box', 'lot', 'cinnamon', 'better', 'balance', 'ingredient', 'tea', 'star', 'rating', 'suit']",0
165,"and THAT is  the problem. I order these by the case of 12 - and when they are good, which is over half the time they are the BEST kettle chip, THE BEST! and then I get a case of the worse - the potatos are mealy and old so I just throw them out and order again, expensive BUT when they are made with good fresh potatos they are the best - the last case is what prompted me to write this - the potatos were weird - like they were almost sour as in going bad - and I even wrote the company that makes them - SO if you want the BEST kettle chip there is try these and if the ones you get are NOT the best try again! I, myself am done ordering because it is creeping me out that they are using soured potatos and either not noticing or not caring.","['problem', 'case', 'time', 'best', 'kettle', 'chip', 'best', 'case', 'worse', 'potato', 'mealy', 'old', 'expensive', 'fresh', 'potato', 'best', 'case', 'potato', 'sour', 'bad', 'company', 'best', 'kettle', 'chip', 'one', 'best', 'try', 'ordering', 'potato']",0
167,"Plant was dead on arrival and was mangled in its container, probably better to buy one locally. I dont think its gonna make it....","['plant', 'dead', 'arrival', 'container', 'dont', 'gon']",0
170,"We tend to eat these straight and/or with hummus as a chip substitute. I've noticed some variation between packages in the texture of the crisps. I prefer them when they're a bit firmer, but they're still nice even when they're softer than I would like.","['straight', 'hummus', 'chip', 'substitute', 'variation', 'package', 'texture', 'crisp', 'bit', 'firmer', 'softer']",0
198,"These chips are greasy and taste burnt-there is grease in the bottom of the bag and the chips are saturated with it (especially at the bottom of the bag. Even if they are trans fat free, they need to be a lot less greasy.","['chip', 'greasy', 'grease', 'bag', 'chip', 'bag', 'trans', 'fat', 'free', 'lot', 'greasy']",0
199,"i ate the graham crackers and they were delicious.  i shared the graham crackers with lana and she said also that the graham crackers were delicious.  both lana and i agreed on the strong oats taste and a lingering graham cracker taste, less subtle than other graham crackers.  i asked lana if this was a cracker she would use for the crust of a banana cream or key lime pie.  with no hesitation she said yes.  this is a wonderful alternative snack to cookies and chips.  lana is with me in highly recommending BACK TO NATURE GOLDEN HONEY OAT GRAHAMS.","['graham', 'cracker', 'delicious', 'graham', 'cracker', 'lana', 'graham', 'cracker', 'delicious', 'lana', 'strong', 'oat', 'lingering', 'graham', 'cracker', 'subtle', 'graham', 'cracker', 'lana', 'cracker', 'crust', 'banana', 'cream', 'key', 'lime', 'pie', 'hesitation', 'wonderful', 'alternative', 'snack', 'cooky', 'chip', 'lana', 'nature', 'golden', 'honey', 'oat', 'graham']",0
201,"This is the first time we bought this tea from Amazon, we used to get it directly from Revolution Tea. I don't know if that made any difference, or if it was just a change in the tea's composition (along with the packaging), but what used to be my wife's favorite tea now has a metallic smell and aftertaste, with much less of a pomegranate flavor and now a strong, almost cheap-generic-green-tea flavor. Really disappointing, especially since we're stuck with six boxes.","['time', 'tea', 'revolution', 'tea', 'difference', 'change', 'tea', 'composition', 'packaging', 'wife', 'favorite', 'tea', 'metallic', 'smell', 'aftertaste', 'pomegranate', 'flavor', 'strong', 'cheap-generic-green-tea', 'flavor', 'disappointing', 'box']",0
203,"This tea is really quite good. It is a quality black tea with a subtle cinnamon flavoring. Definitely one of my favorites!  As with many food items sold on Amazon, I would recommend trying a single box from your local retailer (if you can find it) before committing to a whole six-pack. Once you know you like it, however, the value of this offering really can't be beat anywhere!","['tea', 'black', 'tea', 'subtle', 'cinnamon', 'favorite', 'food', 'item', 'single', 'box', 'local', 'retailer', 'six-pack', 'value', 'offering']",0
207,"I love this stuff. I brew several pitchers of iced tea from it every day, and it has become my standard beverage. Now, I've had plenty of white teas from the various folks who mass produce them (like Lipton), but this is the first time I've bought it loose, and brewed it up myself, rather than pre-brewed or in tea bag form.  So, point is, I'm an amateur. I don't have experience with other loose leaf white teas to compare. But I find this stuff divine. It's mild, yet tasty, and I don't ever get any caffeine effects that I notice. Now, if you need something to wake up in the morning, I could see that being a problem. But as something I drink all day long, I definitely don't want to have to worry about getting jittery or cutting myself off at a particular point in the evening. I've never had a hard time going to sleep after drinking this tea, and that's great in my book. There is some debate as to whether white tea has lower caffeine content than other teas (like black teas), but I can only go by personal experience. And, personally, I find that black teas like English Breakfast, when I brew them up, give me a very noticeable caffeine kick. This does not in any way.  This tea seems great. I wish I had the expertise to know whether I'm enjoying something that really *is* awesome, or some shoddy imposter that, y'know, simply makes me very happy to drink but has no real quality to it. I suspect this is pretty decent quality, and I hope once the two pounds run out, to try some other brand (at least in a limited quantity) to see how they stack up to one another.  Oh, and a side note -- turns out throwing out your first, brief steep will not make the rest caffeine-free. Read more here, if you're interested: [...]  Also, one of my favorite aspects of this white tea (and I assume it's true of most white teas) is that there is almost *no* bitterness. Black tea isn't exactly like tonic water, but it does have a bit of a bitter taste, and I found that I really enjoyed it once that bitterness was gone. Even though I didn't know or think that black tea was unpleasantly bitter, I now notice it quite a bit. A case of one of those ""You don't know what you could've done without until it's gone"" sorts of things, I guess.  Happy brewing!","['stuff', 'pitcher', 'iced', 'tea', 'standard', 'beverage', 'plenty', 'white', 'tea', 'various', 'folk', 'lipton', 'time', 'loose', 'pre-brewed', 'tea', 'bag', 'form', 'point', 'amateur', 'experience', 'loose', 'leaf', 'white', 'tea', 'stuff', 'divine', 'caffeine', 'effect', 'morning', 'problem', 'jittery', 'particular', 'point', 'evening', 'hard', 'time', 'tea', 'book', 'debate', 'white', 'tea', 'lower', 'caffeine', 'content', 'tea', 'black', 'tea', 'personal', 'experience', 'black', 'tea', 'english', 'breakfast', 'noticeable', 'caffeine', 'kick', 'way', 'tea', 'wish', 'expertise', 'awesome', 'shoddy', 'imposter', 'happy', 'real', 'pretty', 'decent', 'pound', 'brand', 'limited', 'quantity', 'oh', 'note', 'brief', 'steep', 'rest', 'caffeine-free', 'read', 'favorite', 'aspect', 'white', 'tea', 'true', 'white', 'tea', 'bitterness', 'black', 'tea', 'tonic', 'water', 'bit', 'bitter', 'bitterness', 'black', 'tea', 'bitter', 'bit', 'case', 'sort', 'thing', 'happy', 'brewing']",0
209,I've been drinking lots and lots of tea over the past few months as I work through a low carb diet regime.  I had been buying varieties at the grocery store and decided it would be economical to simply buy a large sampler.  With that in mind I randomly chose Bentley's Finest Tea Classic Collection.  I couldn't have been more pleased with the quality of the tea.  The peach tea is in fact my favorite in the collection but the English Breakfast Tea made me a fan of that flavor where I never had been before.  I'll be watching for other tea collections from Bentley's.,"['lot', 'lot', 'tea', 'past', 'month', 'low', 'carb', 'diet', 'regime', 'variety', 'grocery', 'store', 'economical', 'large', 'sampler', 'mind', 'chose', 'bentley', 'finest', 'tea', 'classic', 'collection', 'pleased', 'tea', 'peach', 'tea', 'fact', 'favorite', 'collection', 'english', 'breakfast', 'tea', 'fan', 'flavor', 'tea', 'collection', 'bentley']",0
215,"This is my very favorite tea!  It has a nice, strong  blackberry taste.  A must-try for berry lovers like me.","['favorite', 'tea', 'strong', 'blackberry', 'must-try', 'berry', 'lover']",0
220,These are fantastic! I've gone through about 20 bags in the last couple months.  Try putting out a bowl of these rather than pretzels or chips.  They've got a hint of saltiness to them so they go great with beer.  The bulk box of 15 bags is also the most economical purchase I've found.,"['fantastic', 'bag', 'couple', 'month', 'bowl', 'pretzel', 'chip', 'hint', 'saltiness', 'beer', 'bulk', 'box', 'bag', 'economical', 'purchase']",0
230,"Loose prickly pear tea makes a great iced tea but it is very difficult to find in pure form.  This tea is black tea with prickly pear ""flavor"". The shipping cost is twice the cost of the tea.  If there is a prickly pear component it is all but undetectable when I drink it. It just tastes like regular black tea.  Very disappointing.","['loose', 'prickly', 'pear', 'tea', 'iced', 'tea', 'difficult', 'pure', 'form', 'tea', 'black', 'tea', 'prickly', 'pear', 'shipping', 'cost', 'cost', 'tea', 'prickly', 'pear', 'component', 'undetectable', 'regular', 'black', 'tea', 'disappointing']",0
241,"I expected the flavor to be more like that of ""brewed"" green tea. It really does taste like dried green tea leaves simply dissolved in water. Although I'm sure this is probably a good way to get a concentrated amount of antioxidants, I wouldn't order this again.","['flavor', 'green', 'tea', 'green', 'tea', 'water', 'way', 'concentrated', 'antioxidant']",0
244,"I purchased this product to lure black bear to the bait pile. The product has no sweet smell as one would expect. I have asked for a refund or exchange from the supplier, no response.","['black', 'bear', 'bait', 'sweet', 'smell', 'refund', 'exchange', 'supplier', 'response']",0
258,"This is genius!  I purchase Angel hair first and after that bought a big box of angel hair and fettuccine! The product is AMAZING! Don't get fooled by all these negative reviews!  If you like Asian food, you probably already know that their pasta doesn't taste like American/European kind. it has a different texture and taste. So these noodles taste exactly like the ones you order at Big Bowl :)  The comments about the smell are ridiculous! How many raw uncooked food smells good? Are you kidding me? For instance, I love steamed broccoli but it smells bad while steaming! :)  PLEASE follow the instructions: rinse in cold water for at least 15 seconds and boil for one minute, dry in paper towels. if you don't follow instructions, you will ruin ANY food, even your most favorite!  Since the pasta is 0 calories, I finally could indulge myself with a really good pasta sauce ( no low fat anymore ) or some seafood Alfredo! the possibilities are endless. Please note that the noodles even better the next day since they easily absorb all flavors.  Absolutely delicious and guilt free!","['genius', 'purchase', 'angel', 'hair', 'big', 'box', 'angel', 'hair', 'amazing', 'negative', 'review', 'asian', 'food', 'pasta', 'kind', 'different', 'texture', 'noodle', 'one', 'big', 'bowl', 'comment', 'smell', 'ridiculous', 'raw', 'uncooked', 'food', 'smell', 'instance', 'broccoli', 'bad', 'instruction', 'cold', 'water', 'second', 'boil', 'minute', 'dry', 'paper', 'towel', 'instruction', 'food', 'favorite', 'pasta', 'calorie', 'pasta', 'low', 'fat', 'anymore', 'seafood', 'possibility', 'endless', 'note', 'noodle', 'flavor', 'delicious', 'guilt', 'free']",0
259,"This is by far the best tea I have ever had to drink.  I purchased my first cup at a Barnes and Nobles and could not wait to get home to find the tea on the internet and order.  Try it, if you like cinnamon you will love this tea.  Great hot or cold.","['best', 'tea', 'cup', 'barnes', 'noble', 'home', 'tea', 'internet', 'try', 'cinnamon', 'tea', 'hot', 'cold']",0
269,"I tried to ""cook"" 6 different bags of these.  Only a fraction of product ""popped up"".  The ones that managed to pop tasted overly salty and had an unusual flavor.  Unfortunately, they were not returnable, so the rest will be going to the trash.  Waste of $$$.","['different', 'bag', 'fraction', 'one', 'tasted', 'salty', 'unusual', 'flavor', 'returnable', 'rest', 'trash', 'waste']",0
279,I usually get orange and spice tea (not decaf)for hot tea and I was not sure about these flavors but I LOVE THEM and they are caffeine free! These will make great stocking stuffers for Christmas too!  I'm going to have to order more soon!,"['orange', 'spice', 'tea', 'hot', 'tea', 'sure', 'flavor', 'caffeine', 'free', 'stuffer', 'christmas']",0
280,"These are perhaps the worst chips that have ever gone into my mouth.  For my entire life Sour Cream & Onion (and in this case ""& Chive"") chips were my favorite. Recently Kettle brand Honey Dijon Mustard took that slot. So when I found out they had sour cream & onion I just had to try them.  As soon as I opened the bag the chips smelled of powdered milk. And indeed each chip is coated with a powdered sour cream that is just awful. It tastes like rancid milk. Not just sour, but like sour cream that when rancid. The powdery texture is also extremely unappealing. I basically hated these chips. I would not recommend these chips to anyone unless they had a particular affinity for a powdery, chalky texture on a chip, with a rancid (and onion flavor) and I have a hard time believing that person exists.  I plan on contacting Kettle and sharing my thoughts with them. Hopefully they'll reassess the seasoning on these otherwise wonderful kettle style chips.","['worst', 'chip', 'mouth', 'entire', 'life', 'sour', 'cream', 'onion', 'case', 'chive', 'chip', 'favorite', 'kettle', 'brand', 'honey', 'dijon', 'mustard', 'slot', 'cream', 'onion', 'bag', 'chip', 'powdered', 'milk', 'chip', 'powdered', 'sour', 'cream', 'awful', 'rancid', 'milk', 'sour', 'sour', 'cream', 'powdery', 'texture', 'unappealing', 'chip', 'chip', 'particular', 'affinity', 'powdery', 'chalky', 'texture', 'chip', 'rancid', 'onion', 'flavor', 'hard', 'time', 'person', 'exists', 'kettle', 'thought', 'seasoning', 'wonderful', 'kettle', 'style', 'chip']",0
290,My mother in law received this tea in as a gift for Christmas and I had a cup and it was delicious.  It was in sealed packets.  This tea is in paper packets like Lipton tea and does not taste any thing like my mother in laws.  Don't be disappointed like I am and save your money and do not buy this product.  Unfortunately I had to open the package to see and taste this so I could not return it.  I would give it no stars but I had to give it one to post.,"['mother', 'law', 'tea', 'gift', 'christmas', 'cup', 'delicious', 'sealed', 'packet', 'tea', 'paper', 'packet', 'lipton', 'tea', 'thing', 'mother', 'law', 'money', 'package', 'star']",0
311,I was anxious to try making my own ijera at home after living in Ethiopia for 15 months and have had fairly good success with this tef flour.  It is the dark variety but I enjoy the great almost mocha flavor.  I can tell it is fresh because it develops a good sour starter on its own without needing to add any additional sourdough starter  or yeast.,"['anxious', 'ijera', 'home', 'ethiopia', 'month', 'success', 'tef', 'flour', 'dark', 'variety', 'mocha', 'flavor', 'fresh', 'sour', 'starter', 'additional', 'sourdough', 'starter', 'yeast']",0
312,Product was just as promised. I would purchase it again. They are good. They are great. I sugest them. That is all I can write about this product.,[],0
315,Shipping was fast. The taste is great and reminds me of drinking from a real chilled green coconut on the sidewalk in Thailand.,"['shipping', 'real', 'chilled', 'green', 'coconut', 'sidewalk', 'thailand']",0
323,I purchased their Matcha Green Tea Powder Cafe Grade a while back and I fell in love with it. Their powder comes in this little cute reusable tin. The taste of the tea is smooth and not bitter.  I make green tea milkshakes and it is the best that I have purchased. I highly recommend it.  I wish they offer their cafe grade powder in a bigger can. I use to work in a cafe where we had green tea powder in foil bags and they didn't seal well and when we opened the bag we would be covered in green powder and it was such a waste. Plus I really like the tin and want it in a bigger size.,"['matcha', 'green', 'tea', 'powder', 'cafe', 'love', 'powder', 'little', 'cute', 'reusable', 'tin', 'tea', 'smooth', 'bitter', 'green', 'tea', 'milkshake', 'best', 'wish', 'cafe', 'grade', 'powder', 'bigger', 'use', 'cafe', 'green', 'tea', 'powder', 'foil', 'bag', 'bag', 'green', 'powder', 'waste', 'tin', 'bigger', 'size']",0
348,"The Badia Cilantro, 0.25-Ounce (Pack of 12) has very little taste and, what flavor there is, doesn't resemble cilantro.  It is reminiscent of a stale oregano.  This was a very disappointing purchase and I won't be buying any Badia products again.","['badia', 'cilantro', '0.25-ounce', 'pack', 'little', 'flavor', 'cilantro', 'reminiscent', 'stale', 'oregano', 'disappointing', 'purchase', 'badia', 'product']",0
349,"I received my shipment today, and tried to microwave four bags using different time settings. Only one or two out of each bag microwave correctly. I even put the unpopped on a plate as someone suggested and nothing. I carefully followed directions for each bag. If I could rate this, a zero I would.","['shipment', 'today', 'bag', 'different', 'time', 'setting', 'bag', 'unpopped', 'plate', 'direction', 'bag', 'rate', 'zero']",0
351,You can buy the same bag of chocolate at any Michaels store for $2.99.  I got a ton of bags on sale for $1.99 there!  Don't waste your money or your time waiting for this bag,"['bag', 'chocolate', 'michael', 'ton', 'bag', 'sale', 'money', 'time', 'bag']",0
366,"I really love herbal tea, especially honey and vanilla. But all of Teekanne's teas were tasteless and even if you put two packages in a cup of tea you still get no taste. Now I have three packages of Teakanne (2 relaxing and 1 energizing) and I don't know what to do with it. Surely will not drink it.","['herbal', 'tea', 'honey', 'vanilla', 'teekanne', 'tea', 'tasteless', 'package', 'cup', 'tea', 'package', 'teakanne', 'relaxing', 'energizing']",0
369,"Green tea is good for you, loaded with antioxidants, boosts your metabolism, yadda, yadda, yadda, but I never quite warmed up to the taste.  Until now.  The lemon and the ginger give this a very nice flavor.  And it is SO great that I can just add a packet to my water bottle and go, without the bother of brewing it.","['green', 'tea', 'antioxidant', 'boost', 'metabolism', 'yadda', 'yadda', 'yadda', 'lemon', 'ginger', 'flavor', 'packet', 'water', 'bottle', 'bother', 'brewing']",0
372,I had brought this as a dipping sauce for dumplings and egg rolls I made at home. It taste's great and I think it the same sauce I get at some Thai places cause it tastes the exact same.,"['dipping', 'sauce', 'dumpling', 'egg', 'roll', 'home', 'sauce', 'thai', 'place', 'exact']",0
379,This is an great green tea choice if you like a blend of different teas.  I thought it was well-balanced and tasted great overall.,"['green', 'tea', 'choice', 'blend', 'different', 'tea', 'well-balanced', 'tasted', 'overall']",0
420,I liked this a lot and will keep this in my tea stock.  The Bergamot is strong and compliments the full bodied earl grey tea well.,"['lot', 'tea', 'stock', 'bergamot', 'strong', 'earl', 'grey', 'tea']",0
423,"I am not a coffee drinker, but tea is what wakes me up in the morning. This is a great black tea, with a wonderful flavor.  I french press it to bring out the flavor, this loose leaf tea is perfect for this.  I have never enjoyed a cup of tea more than this one.","['coffee', 'drinker', 'tea', 'morning', 'black', 'tea', 'wonderful', 'flavor', 'french', 'press', 'flavor', 'loose', 'leaf', 'tea', 'perfect', 'cup', 'tea']",0
425,My husband worked for this Oreintal family who gave him a 48 oz package of  NOH Hawaiian Iced Tea . He raved on how good it was . I didnt believe him until I actually tried it . UMMMM great cool taste and refreshing Ice tea . I would definetely recommend,"['husband', 'oreintal', 'family', 'oz', 'package', 'noh', 'hawaiian', 'iced', 'tea', 'didnt', 'ummmm', 'cool', 'ice', 'tea']",0
433,"when i was first introduced to this product and business opportunity i was a little skeptical about it, but after i started drinking it i really like it i experienced good things. i didnt get any coffee jitters and crashes, plus i lost some weight like most people experience. so i decided to sign up as a representive so i can get it the products at wholesale. then as time goes i check my website and there were alot of people as my downline, then i relized that this business is really growing whether i do anything or not so i decided to purchase the bronze promotional package and i started getting on this business. my upline and leaders are a great help and im pretty much just trying to duplicate their success and its working. ive just upgraded to the silver promotional package to really get my business growing. ive made all my investment money back and some in the short time that ive been involved in og, considering that i dont do much, i just give people samples and show them the business opportunity. if you like to know more about this business give me a email at zang-xiong@hotmail.com. im more then happy to share this opportunity with anyone that is interested and looking to change their lifes.","['business', 'opportunity', 'little', 'skeptical', 'thing', 'coffee', 'jitter', 'crash', 'weight', 'people', 'representive', 'product', 'wholesale', 'time', 'website', 'alot', 'people', 'downline', 'business', 'bronze', 'promotional', 'package', 'business', 'upline', 'leader', 'help', 'success', 'ive', 'silver', 'promotional', 'package', 'business', 'ive', 'investment', 'money', 'short', 'time', 'ive', 'og', 'people', 'sample', 'business', 'opportunity', 'business', 'email', 'zang-xiong', 'im', 'happy', 'share', 'opportunity', 'interested', 'life']",0
438,"I've been drinking this tea for the past 8 or 10 years, usually buying a box or two when visiting large metropolitan areas, where many Middle-Eastern stores carry loose Ahmad teas, usually at $5-7 for a pound box.  I've always considered it an unremarkable but robust tea, with enough aroma and taste, and beautiful reddish color, perhaps not good enough a tea to drink on its own, but a decent base for mixes. This tea, however, is nothing of the sort. Freshly opened package has almost no characteristic tea smell, and the brewed tea is weak, flat and tasteless.  Somehow it just does not seem to be the same product anymore. So, you get a lot of tea for the money, but the quality is such that you might as well drink Lipton bags, they are not that much worse.","['tea', 'past', 'year', 'box', 'large', 'metropolitan', 'area', 'middle-eastern', 'store', 'loose', 'ahmad', 'tea', '5-7', 'pound', 'box', 'unremarkable', 'robust', 'tea', 'aroma', 'beautiful', 'reddish', 'color', 'tea', 'decent', 'base', 'mix', 'tea', 'sort', 'package', 'characteristic', 'tea', 'smell', 'tea', 'weak', 'flat', 'tasteless', 'lot', 'tea', 'money', 'lipton', 'worse']",0
